generation,best_fitness,mean_fitness,min_fitness,max_fitness,std_fitness,best_effective_code_rate,best_total_length,best_effective_length,mean_program_length,std_program_length,best_ever_fitness,best_ever_generation
0,0.03400000000000002,0.026020000000000015,0.02000000000000001,0.03400000000000002,0.006931060524912482,0.0,7,0,5.41,2.8322958884975273,0.03400000000000002,0
1,0.03400000000000002,0.031200000000000016,0.02000000000000001,0.03400000000000002,0.005600000000000004,0.0,7,0,5.24,3.2097351915695476,0.03400000000000002,0
2,0.03400000000000002,0.03386000000000002,0.02000000000000001,0.03400000000000002,0.0013929824119492688,0.0,7,0,5.23,3.5095726235540416,0.03400000000000002,0
3,0.03400000000000002,0.03386000000000002,0.02000000000000001,0.03400000000000002,0.0013929824119492688,0.0,7,0,5.19,3.2762631151969464,0.03400000000000002,0
4,0.03400000000000002,0.03386000000000002,0.02000000000000001,0.03400000000000002,0.0013929824119492688,0.0,7,0,4.93,3.207039132907486,0.03400000000000002,0
5,0.03400000000000002,0.034000000000000016,0.03400000000000002,0.03400000000000002,6.938893903907228e-18,0.0,7,0,5.43,3.57282801153372,0.03400000000000002,0
6,0.03400000000000002,0.034000000000000016,0.03400000000000002,0.03400000000000002,6.938893903907228e-18,0.0,7,0,5.26,3.1260838120562284,0.03400000000000002,0
7,0.03400000000000002,0.03386000000000002,0.02000000000000001,0.03400000000000002,0.0013929824119492688,0.0,7,0,5.75,3.5422450508117023,0.03400000000000002,0
8,0.03400000000000002,0.03386000000000002,0.02000000000000001,0.03400000000000002,0.0013929824119492693,0.0,7,0,5.14,3.14331035693264,0.03400000000000002,0
9,0.03400000000000002,0.034000000000000016,0.03400000000000002,0.03400000000000002,6.938893903907228e-18,0.0,7,0,5.35,3.2167530212933664,0.03400000000000002,0
10,0.03400000000000002,0.034000000000000016,0.03400000000000002,0.03400000000000002,6.938893903907228e-18,0.0,7,0,5.31,3.5740593167993175,0.03400000000000002,0
11,0.03400000000000002,0.034000000000000016,0.03400000000000002,0.03400000000000002,6.938893903907228e-18,0.0,7,0,4.93,3.1914103465395987,0.03400000000000002,0
12,0.03400000000000002,0.03386000000000002,0.02000000000000001,0.03400000000000002,0.0013929824119492688,0.0,7,0,5.29,3.699445904456504,0.03400000000000002,0
13,0.03400000000000002,0.03386000000000002,0.02000000000000001,0.03400000000000002,0.0013929824119492688,0.0,7,0,5.1,3.419064199455752,0.03400000000000002,0
